'aute	s_ w t e
dormí	d o ɾ m ˈi
dorso	d ˈo ɾ s o
dos	d o s
doscientas	d o s θ j ˈe n t a s
doscientos	d o s θ j ˈe n t o s
dosis	d ˈo s i s
dota	d ˈo t a
doy	d ˈo j
dragón	d ɾ a ɣ ˈo n
dramatismo	d ɾ a m a t ˈi s m o
dramáticamente	d ɾ a m ˈa t i k a m ˈe n t e
dramático	d ɾ a m ˈa t i k o
drogó	d ɾ o ɣ ˈo
drásticamente	d ɾ ˈa s t i k a m ˈe n t e
dts	d t s
ducha	d ˈu ʧ a
ducharse	d u ʧ ˈa ɾ s e
duchas	d ˈu ʧ a s
dudaba	d u ð ˈa β a
dudo	d ˈu ð o
dudé	d u ð ˈe
duela	d w ˈe l a
duele	d w ˈe l e
duelen	d w ˈe l e n
duerma	d w ˈe ɾ m a
duerme	d w ˈe ɾ m e
duermes	d w ˈe ɾ m e s
dueños	d w ˈe ɲ o s
dulces	d ˈu l θ e s
dulzura	d u l θ ˈu ɾ a
dunas	d ˈu n a s
duplicaríamos	d u p l i k a ɾ ˈi a m o s
duración	d u ɾ a θ j ˈo n
durado	d u ɾ ˈa ð o
dure	d ˈu ɾ e
durmiendo	d u ɾ m j ˈe n d o
durísimo	d u ɾ ˈi s i m o
dándote	d ˈa n d o t e
dárselo	d ˈa ɾ s e l o
dé	d ˈe
débiles	d ˈe β i l e s
década	d ˈe k a ð a
décadas	d ˈe k a ð a s
décimo	d ˈe θ i m o
déficit	d ˈe f i θ i t
déjelo	d ˈe x e l o
día	d ˈi a
días	d ˈi a s
dígale	d ˈi ɣ a l e
dígales	d ˈi ɣ a l e s
dígame	d ˈi ɣ a m e
díganle	d ˈi ɣ a n l e
díptico	d ˈi p t i k o
dóciles	d ˈo θ i l e s
dólar	d ˈo l a ɾ
dólares	d ˈo l a ɾ e s
dónde	d ˈo n d e
e	e
echa	ˈe ʧ a
echado	e ʧ ˈa ð o
echamos	e ʧ ˈa m o s
echan	ˈe ʧ a n
echar	e ʧ ˈa ɾ
echaremos	e ʧ a ɾ ˈe m o s
echarla	e ʧ ˈa ɾ l a
echarnos	e ʧ ˈa ɾ n o s
echaron	e ʧ ˈa ɾ o n
echarán	e ʧ a ɾ ˈa n
echaré	e ʧ a ɾ ˈe
echas	ˈe ʧ a s
echen	ˈe ʧ e n
eché	e ʧ ˈe
echó	e ʧ ˈo
eclecticismo	e k l e k t i θ ˈi s m o
eclipsado	e k l i p s ˈa ð o
eco	ˈe k o
economista	e k o n o m ˈi s t a
economía	e k o n o m ˈi a
economía'	e k o n o m ˈi a s_
economías	e k o n o m ˈi a s
económica	e k o n ˈo m i k a
económicas	e k o n ˈo m i k a s
económico	e k o n ˈo m i k o
económicos	e k o n ˈo m i k o s
ecualizador	e k w a l i θ a ð ˈo ɾ
edad	e ð ˈa d
edades	e ð ˈa ð e s
edición	e ð i θ j ˈo n
edificio	e ð i f ˈi θ j o
edificios	e ð i f ˈi θ j o s
editoriales	e ð i t o ɾ j ˈa l e s
educación	e ð u k a θ j ˈo n
educadas	e ð u k ˈa ð a s
educativos	e ð u k a t ˈi β o s
eeuu	e e w
efectivamente	e f e k t ˈi β a m ˈe n t e
efectivo	e f e k t ˈi β o
efecto	e f ˈe k t o
efectos	e f ˈe k t o s
efectuado	e f e k t w ˈa ð o
eficacia	e f i k ˈa θ j a
efímeras	e f ˈi m e ɾ a s
egipcio	e x ˈi p θ j o
egoísmo	e ɣ o ˈi s m o
egoísta	e ɣ o ˈi s t a
egoístas	e ɣ o ˈi s t a s
eh	ˈe
ei	ˈe j
ejecutivo	e x e k u t ˈi β o
ejemplares	e x e m p l ˈa ɾ e s
ejemplo	e x ˈe m p l o
ejercer	e x e ɾ θ ˈe ɾ
ejercicio	e x e ɾ θ ˈi θ j o
ejército	e x ˈe ɾ θ i t o
el	ˈe l
elaboración	e l a β o ɾ a θ j ˈo n
elecciones	e l e k θ j ˈo n e s
elección	e l e k θ j ˈo n
electricidad	e l e k t ɾ i θ i ð ˈa d
electricista	e l e k t ɾ i θ ˈi s t a
electrificación	e l e k t ɾ i f i k a θ j ˈo n
electrolineras	e l e k t ɾ o l i n ˈe ɾ a s
electromagnética	e l e k t ɾ o m a g n ˈe t i k a
electrónicas	e l e k t ɾ ˈo n i k a s
elegante	e l e ɣ ˈa n t e
elegir	e l e x ˈi ɾ
elegíaco	e l e x ˈi a k o
elejalde	e l e x ˈa l d e
elementales	e l e m e n t ˈa l e s
elemento	e l e m ˈe n t o
elementos	e l e m ˈe n t o s
eleva	e l ˈe β a
elevada	e l e β ˈa ð a
elevado	e l e β ˈa ð o
elevar	e l e β ˈa ɾ
elige	e l ˈi x e
eliges	e l i x e s
eligieron	e l i x j ˈe ɾ o n
eligió	e l i x j ˈo
elija	e l ˈi x a
elijo	e l ˈi x o
elimina	e l i m ˈi n a
eliminado	e l i m i n ˈa ð o
eliminados	e l i m i n ˈa ð o s
eliminar	e l i m i n ˈa ɾ
elimínelo	e l i m ˈi n e l o
ellas	ˈe ʝ a s
ello	ˈe ʝ o
ellos	ˈe ʝ o s
elogian	e l ˈo x j a n
elogio	e l ˈo x j o
eléctrica	e l ˈe k t ɾ i k a
eléctricas	e l ˈe k t ɾ i k a s
eléctrico	e l ˈe k t ɾ i k o
emancipé	e m a n θ i p ˈe
embajador	e m b a x a ð ˈo ɾ
embarazos	e m b a ɾ ˈa θ o s
embrujo	e m b ɾ ˈu x o
eme	e m e
emergencia	e m e ɾ x ˈe n θ j a
emergente	e m e ɾ x ˈe n t e
emisión	e m i s j ˈo n
emite	e m ˈi t e
emitido	e m i t ˈi ð o
emitieron	e m i t j ˈe ɾ o n
emitir	e m i t ˈi ɾ
emocionado	e m o θ j o n ˈa ð o
emocional	e m o θ j o n ˈa l
emocionante	e m o θ j o n ˈa n t e
emocione	e m o θ j ˈo n e
emociones	e m o θ j ˈo n e s
emotividad	e m o t i β i ð ˈa d
emotivo	e m o t ˈi β o
empadronadas	e m p a ð ɾ o n ˈa ð a s
empadronamiento	e m p a ð ɾ o n a m j ˈe n t o
empalagoso	e m p a l a ɣ ˈo s o
empañadas	e m p a ɲ ˈa ð a s
empecé	e m p e θ ˈe
empeorado	e m p e o ɾ ˈa ð o
empeorar	e m p e o ɾ ˈa ɾ
empezaba	e m p e θ ˈa β a
empezado	e m p e θ ˈa ð o
empezar	e m p e θ ˈa ɾ
empezaron	e m p e θ ˈa ɾ o n
empezó	e m p e θ ˈo
empiece	e m p j ˈe θ e
empieza	e m p j ˈe θ a
empiezan	e m p j ˈe θ a n
empiezas	e m p j ˈe θ a s
empiezo	e m p j ˈe θ o
empinan	e m p ˈi n a n
empleadas	e m p l e ˈa ð a s
empleado	e m p l e ˈa ð o
empleador	e m p l e a ð ˈo ɾ
empleadoras	e m p l e a ð ˈo ɾ a s
empleadores	e m p l e a ð ˈo ɾ e s
empleados	e m p l e ˈa ð o s
emplear	e m p l e ˈa ɾ
empleo	e m p l ˈe o
empoderamiento	e m p o ð e ɾ a m j ˈe n t o
emprenda	e m p ɾ ˈe n d a
empresarial	e m p ɾ e s a ɾ j ˈa l
empresariales	e m p ɾ e s a ɾ j ˈa l e s
empresarios	e m p ɾ e s ˈa ɾ j o s
empréstitos	e m p ɾ ˈe s t i t o s
empujado	e m p u x ˈa ð o
en	e n
enamora	e n a m ˈo ɾ a
enamorada	e n a m o ɾ ˈa ð a
enamorado	e n a m o ɾ ˈa ð o
enamorados	e n a m o ɾ ˈa ð o s
enamorar	e n a m o ɾ ˈa ɾ
enamorarte	e n a m o ɾ ˈa ɾ t e
enamoró	e n a m o ɾ ˈo
encadenan	e n k a ð ˈe n a n
encaja	e n k ˈa x a
encajar	e n k a x ˈa ɾ
encajó	e n k a x ˈo
encandila	e n k a n d i l a
encanta	e n k ˈa n t a
encantaba	e n k a n t ˈa β a
encantada	e n k a n t ˈa ð a
encantador	e n k a n t a ð ˈo ɾ
encantadora	e n k a n t a ð ˈo ɾ a
encantados	e n k a n t ˈa ð o s
encantan	e n k ˈa n t a n
encantará	e n k a n t a ɾ ˈa
encantaría	e n k a n t a ɾ ˈi a
encanto	e n k ˈa n t o
encantó	e n k a n t ˈo
encarga	e n k ˈa ɾ g a
encargada	e n k a ɾ g ˈa ð a
encargado	e n k a ɾ g ˈa ð o
encargan	e n k a ɾ g a n
encargar	e n k a ɾ g ˈa ɾ
encargará	e n k a ɾ g a ɾ ˈa
encargue	e n k ˈa ɾ ɣ e
encariñada	e n k a ɾ i ɲ ˈa ð a
encendedor	e n θ e n d e ð ˈo ɾ
encender	e n θ e n d ˈe ɾ
encendido	e n θ e n d ˈi ð o
encerrarle	e n θ e r ˈa ɾ l e
encerrarlos	e n θ e r ˈa ɾ l o s
encerrarás	e n θ e r a ɾ ˈa s
encierra	e n θ j ˈe r a
encima	e n θ ˈi m a
encontrado	e n k o n t ɾ ˈa ð o
encontramos	e n k o n t ɾ ˈa m o s
encontrar	e n k o n t ɾ ˈa ɾ
encontrara	e n k o n t ɾ ˈa ɾ a
encontrarla	e n k o n t ɾ ˈa ɾ l a
encontrarlo	e n k o n t ɾ ˈa ɾ l o
encontrarme	e n k o n t ɾ ˈa ɾ m e
encontrarnos	e n k o n t ɾ ˈa ɾ n o s
encontrarte	e n k o n t ɾ ˈa ɾ t e
encontrará	e n k o n t ɾ a ɾ ˈa
encontrarán	e n k o n t ɾ a ɾ ˈa n
encontrarás	e n k o n t ɾ a ɾ ˈa s
encontraré	e n k o n t ɾ a ɾ ˈe
encontré	e n k o n t ɾ ˈe
encontréis	e n k o n t ɾ ˈe j s
encontró	e n k o n t ɾ ˈo
encubierta	e n k u β j ˈe ɾ t a
encuentra	e n k w ˈe n t ɾ a
encuentran	e n k w ˈe n t ɾ a n
encuentras	e n k w ˈe n t ɾ a s
encuentro	e n k w ˈe n t ɾ o
encuentros	e n k w ˈe n t ɾ o s
encuesta	e n k w ˈe s t a
encuestados	e n k w e s t ˈa ð o s
encías	e n θ ˈi a s
endesa	e n d ˈe s a
endeudamiento	e n d e w ð a m j ˈe n t o
endeudarse	e n d e w ð ˈa ɾ s e
ene	ˈe n e
enemigo	e n e m ˈi ɣ o
enemigos	e n e m ˈi ɣ o s
energéticas	e n e ɾ x ˈe t i k a s
energético	e n e ɾ x ˈe t i k o
energía	e n e ɾ x ˈi a
energías	e n e ɾ x ˈi a s
enero	e n ˈe ɾ o
enfadados	e m f a ð ˈa ð o s
enfado	e m f ˈa ð o
enfados	e m f ˈa ð o s
enferma	e m f ˈe ɾ m a
enfermarte	e m f e ɾ m ˈa ɾ t e
enfermedad	e m f e ɾ m e ð ˈa d
enfermedades	e m f e ɾ m e ð ˈa ð e s
enfermera	e m f e ɾ m ˈe ɾ a
enfermo	e m f ˈe ɾ m o
enfermos	e m f ˈe ɾ m o s
enfocada	e m f o k ˈa ð a
enfocan	e m f ˈo k a n
enfoque	e m f ˈo k e
enfoqué	e m f o k ˈe
enfrentan	e m f ɾ ˈe n t a n
enfrentar	e m f ɾ e n t ˈa ɾ
enfrentarnos	e m f ɾ e n t ˈa ɾ n o s
enfrentarse	e m f ɾ e n t ˈa ɾ s e
enfrente	e m f ɾ ˈe n t e
enganchado	e n g a n ʧ ˈa ð o
engañado	e n g a ɲ ˈa ð o
engañarte	e n g a ɲ ˈa ɾ t e
engañemos	e n g a ɲ ˈe m o s
engrandece	e n g ɾ a n d ˈe θ e
engrasado	e n g ɾ a s ˈa ð o
enmienda	e n m j ˈe n d a
enoja	e n ˈo x a
enojar	e n o x ˈa ɾ
enorme	e n ˈo ɾ m e
enormemente	e n ˈo ɾ m e m ˈe n t e
enormes	e n ˈo ɾ m e s
enredas	e n r e ð a s
enriquecido	e n r i k e θ ˈi ð o
ensayo	e n s ˈa ʝ o
ensayos	e n s ˈa ʝ o s
enseguida	e n s e ɣ w ˈi ð a
enseña	e n s ˈe ɲ a
enseñado	e n s e ɲ ˈa ð o
enseñando	e n s e ɲ ˈa n d o
enseñanza	e n s e ɲ ˈa n θ a
enseñar	e n s e ɲ ˈa ɾ
enseñarle	e n s e ɲ ˈa ɾ l e
enseñará	e n s e ɲ a ɾ ˈa
enseñaré	e n s e ɲ a ɾ ˈe
entendedor	e n t e n d e ð ˈo ɾ
entendemos	e n t e n d ˈe m o s
entender	e n t e n d ˈe ɾ
entenderlo	e n t e n d ˈe ɾ l o
entendería	e n t e n d e ɾ ˈi a
entendido	e n t e n d ˈi ð o
entendieran	e n t e n d j ˈe ɾ a n
entendimiento	e n t e n d i m j ˈe n t o
entendéis	e n t e n d ˈe j s
entendí	e n t e n d ˈi
entera	e n t ˈe ɾ a
enterada	e n t e ɾ ˈa ð a
enteramente	e n t ˈe ɾ a m ˈe n t e
enteras	e n t ˈe ɾ a s
enteraste	e n t e ɾ ˈa s t e
enteren	e n t ˈe ɾ e n
entero	e n t ˈe ɾ o
enterrarlo	e n t e r ˈa ɾ l o
enteré	e n t e ɾ ˈe
entidades	e n t i ð ˈa ð e s
entiendas	e n t j ˈe n d a s
entiende	e n t j ˈe n d e
entienden	e n t j ˈe n d e n
entiendes	e n t j ˈe n d e s
entiendo	e n t j ˈe n d o
entonar	e n t o n ˈa ɾ
entonces	e n t ˈo n θ e s
entorno	e n t ˈo ɾ n o
entra	ˈe n t ɾ a
entraba	e n t ɾ ˈa β a
entrabas	e n t ɾ ˈa β a s
entrada	e n t ɾ ˈa ð a
entradas	e n t ɾ ˈa ð a s
entrado	e n t ɾ ˈa ð o
entramos	e n t ɾ ˈa m o s
entrante	e n t ɾ ˈa n t e
entrantes	e n t ɾ ˈa n t e s
entrar	e n t ɾ ˈa ɾ
entraron	e n t ɾ ˈa ɾ o n
entrará	e n t ɾ a ɾ ˈa
entrarán	e n t ɾ a ɾ ˈa n
entras	ˈe n t ɾ a s
entrega	e n t ɾ ˈe ɣ a
entregar	e n t ɾ e ɣ ˈa ɾ
entregaran	e n t ɾ e ɣ ˈa ɾ a n
entregarlos	e n t ɾ e ɣ ˈa ɾ l o s
entregarán	e n t ɾ e ɣ a ɾ ˈa n
entregarías	e n t ɾ e ɣ a ɾ ˈi a s
entreguéis	e n t ɾ e ɣ w ˈe j s
entregó	e n t ɾ e ɣ ˈo
entrenadoras	e n t ɾ e n a ð ˈo ɾ a s
entrenadores	e n t ɾ e n a ð ˈo ɾ e s
entrenan	e n t ɾ ˈe n a n
entreplanta	e n t ɾ e p l ˈa n t a
entretenida	e n t ɾ e t e n ˈi ð a
entretenimiento	e n t ɾ e t e n i m j ˈe n t o
entrevistas	e n t ɾ e β ˈi s t a s
entrevisté	e n t ɾ e β i s t ˈe
entré	e n t ɾ ˈe
entró	e n t ɾ ˈo
entusiasmo	e n t u s j ˈa s m o
entusiasmó	e n t u s j a s m ˈo
entusiasta	e n t u s j ˈa s t a
envejecen	e m b e x ˈe θ e n
envenenada	e m b e n e n ˈa ð a
envenenar	e m b e n e n ˈa ɾ
enviada	e m b j ˈa ð a
enviado	e m b j ˈa ð o
enviar	e m b j ˈa ɾ
enviara	e m b j ˈa ɾ a
enviaremos	e m b j a ɾ ˈe m o s
enviaron	e m b j ˈa ɾ o n
enviará	e m b j a ɾ ˈa
enviaré	e m b j a ɾ ˈe
enviaría	e m b j a ɾ ˈi a
enviaste	e m b j ˈa s t e
envidiable	e m b i ð j ˈa β l e
envolvente	e m b o l b ˈe n t e
envolverte	e m b o l b ˈe ɾ t e
envían	e m b ˈi a n
envíe	e m b ˈi e
envío	e m b ˈi o
envíos	e m b ˈi o s
epidemiólogo	e p i ð e m j ˈo l o ɣ o
episodio	e p i s ˈo ð j o
episodios	e p i s ˈo ð j o s
equilibrado	e k i l i β ɾ ˈa ð o
equilibrar	e k i l i β ɾ ˈa ɾ
equipaje	e k i p ˈa x e
equipo	e k ˈi p o
equipos	e k ˈi p o s
equivalentes	e k i β a l ˈe n t e s
equivocada	e k i β o k ˈa ð a
equivoqué	e k i β o k ˈe
era	ˈe ɾ a
eran	ˈe ɾ a n
ere	ˈe ɾ e
eres	ˈe ɾ e s
erigió	e ɾ i x j ˈo
erizos	e ɾ ˈi θ o s
erre	ˈe r e
errores	e r ˈo ɾ e s
ertes	ˈe ɾ t e s
erupción	e ɾ u p θ j ˈo n
erótica	e ɾ ˈo t i k a
es	e s
esa	ˈe s a
esas	ˈe s a s
escala	e s k ˈa l a
escaleras	e s k a l ˈe ɾ a s
escalofríos	e s k a l o f ɾ ˈi o s
escandaliza	e s k a n d a l ˈi θ a
escandinavos	e s k a n d i n ˈa β o s
escapa	e s k ˈa p a
escapan	e s k ˈa p a n
escapar	e s k a p ˈa ɾ
escapara	e s k a p ˈa ɾ a
escara	e s k a ɾ a
escasa	e s k ˈa s a
escasez	e s k a s ˈe θ
escaso	e s k ˈa s o
escena	e s θ ˈe n a
escenario	e s θ e n ˈa ɾ j o
escenarios	e s θ e n ˈa ɾ j o s
escenas	e s θ ˈe n a s
escocés	e s k o θ ˈe s
escoger	e s k o x ˈe ɾ
escondemos	e s k o n d ˈe m o s
escondidas	e s k o n d ˈi ð a s
escondidos	e s k o n d ˈi ð o s
escondieron	e s k o n d j ˈe ɾ o n
escorial	e s k o ɾ j ˈa l
escorpio	e s k ˈo ɾ p j o
escriba	e s k ɾ ˈi β a
escriban	e s k ɾ ˈi β a n
escribe	e s k ɾ ˈi β e
escriben	e s k ɾ ˈi β e n
escribiendo	e s k ɾ i β j ˈe n d o
escribir	e s k ɾ i β ˈi ɾ
escribirlos	e s k ɾ i β ˈi ɾ l o s
escribiré	e s k ɾ i β i ɾ ˈe
escribió	e s k ɾ i β j ˈo
escribo	e s k ɾ ˈi β o
escribí	e s k ɾ i β ˈi
escrito	e s k ɾ ˈi t o
escritor	e s k ɾ i t ˈo ɾ
escritora	e s k ɾ i t ˈo ɾ a
escritores	e s k ɾ i t ˈo ɾ e s
escritorio	e s k ɾ i t ˈo ɾ j o
escritura	e s k ɾ i t ˈu ɾ a
escrituras	e s k ɾ i t ˈu ɾ a s
escrúpulo	e s k ɾ ˈu p u l o
escuadrilla	e s k w a ð ɾ ˈi ʝ a
escucha	e s k ˈu ʧ a
escuchaba	e s k u ʧ ˈa β a
escuchado	e s k u ʧ ˈa ð o
escuchando	e s k u ʧ ˈa n d o
escuchar	e s k u ʧ ˈa ɾ
escucharlo	e s k u ʧ ˈa ɾ l o
escuchas	e s k ˈu ʧ a s
escuche	e s k ˈu ʧ e
escucho	e s k ˈu ʧ o
escuché	e s k u ʧ ˈe
escuela	e s k w ˈe l a
escuelas	e s k w ˈe l a s
esculturas	e s k u l t ˈu ɾ a s
escándalo	e s k ˈa n d a l o
escáner	e s k ˈa n e ɾ
escénicas	e s θ ˈe n i k a s
escúchame	e s k ˈu ʧ a m e
ese	ˈe s e
esencia	e s ˈe n θ j a
esencial	e s e n θ j ˈa l
esenciales	e s e n θ j ˈa l e s
esferas	e s f ˈe ɾ a s
esforzándose	e s f o ɾ θ ˈa n d o s e
esfuerzo	e s f w ˈe ɾ θ o
esfuerzos	e s f w ˈe ɾ θ o s
esfumó	e s f u m ˈo
eslava	e s l ˈa β a
esnobismo	e s n o β ˈi s m o
esnobismos	e s n o β ˈi s m o s
eso	ˈe s o
esos	ˈe s o s
espacio	e s p ˈa θ j o
espacios	e s p ˈa θ j o s
espaciosos	e s p a θ j ˈo s o s
espalda	e s p ˈa l d a
espaldarazo	e s p a l d a ɾ ˈa θ o
espaldas	e s p ˈa l d a s
españa	e s p ˈa ɲ a
español	e s p a ɲ ˈo l
española	e s p a ɲ ˈo l a
españolas	e s p a ɲ ˈo l a s
españoles	e s p a ɲ ˈo l e s
especiales	e s p e θ j ˈa l e s
especializado	e s p e θ j a l i θ ˈa ð o
especialmente	e s p e θ j ˈa l m ˈe n t e
especie	e s p ˈe θ j e
especies	e s p ˈe θ j e s
especificada	e s p e θ i f i k ˈa ð a
especificase	e s p e θ i f i k ˈa s e
espectacular	e s p e k t a k u l ˈa ɾ
espectaculares	e s p e k t a k u l ˈa ɾ e s
espectadores	e s p e k t a ð ˈo ɾ e s
espectáculo	e s p e k t ˈa k u l o
espectáculos	e s p e k t ˈa k u l o s
especulaciones	e s p e k u l a θ j ˈo n e s
específicamente	e s p e θ ˈi f i k a m ˈe n t e
espejos	e s p ˈe x o s
espera	e s p e ɾ a
esperaba	e s p e ɾ ˈa β a
esperada	e s p e ɾ ˈa ð a
esperado	e s p e ɾ ˈa ð o
esperamos	e s p e ɾ ˈa m o s
esperan	e s p ˈe ɾ a n
esperando	e s p e ɾ ˈa n d o
esperanza	e s p e ɾ ˈa n θ a
esperar	e s p e ɾ ˈa ɾ
esperaras	e s p e ɾ ˈa ɾ a s
esperará	e s p e ɾ a ɾ ˈa
esperaré	e s p e ɾ a ɾ ˈe
esperas	e s p e ɾ a s
esperaste	e s p e ɾ ˈa s t e
espere	e s p ˈe ɾ e
esperes	e s p ˈe ɾ e s
espero	e s p ˈe ɾ o
esperábamos	e s p e ɾ ˈa β a m o s
esperándome	e s p e ɾ ˈa n d o m e
esperó	e s p e ɾ ˈo
espiritual	e s p i ɾ i t w ˈa l
espléndidos	e s p l ˈe n d i ð o s
esposa	e s p ˈo s a
esposo	e s p ˈo s o
esposos	e s p ˈo s o s
espéreme	e s p ˈe ɾ e m e
espíritu	e s p ˈi ɾ i t u
esquina	e s k ˈi n a
estaba	e s t ˈa β a
estaban	e s t ˈa β a n
estabas	e s t ˈa β a s
estable	e s t ˈa β l e
establecerá	e s t a β l e θ e ɾ ˈa
establecido	e s t a β l e θ ˈi ð o
establecidos	e s t a β l e θ ˈi ð o s
establecimiento	e s t a β l e θ i m j ˈe n t o
establecimientos	e s t a β l e θ i m j ˈe n t o s
estacionado	e s t a θ j o n ˈa ð o
estacional	e s t a θ j o n ˈa l
estacionamiento	e s t a θ j o n a m j ˈe n t o
estaciones	e s t a θ j ˈo n e s
estación	e s t a θ j ˈo n
estadio	e s t ˈa ð j o
estado	e s t ˈa ð o
estados	e s t ˈa ð o s
estadounidense	e s t a ð o w n i ð ˈe n s e
estadounidenses	e s t a ð o w n i ð ˈe n s e s
estadísticas	e s t a ð ˈi s t i k a s
estafado	e s t a f ˈa ð o
estallado	e s t a ʝ ˈa ð o
estallar	e s t a ʝ ˈa ɾ
estamos	e s t ˈa m o s
estancada	e s t a n k ˈa ð a
estancia	e s t ˈa n θ j a
estancos	e s t ˈa n k o s
estando	e s t ˈa n d o
estanque	e s t ˈa n k e
estanques	e s t ˈa n k e s
estantería	e s t a n t e ɾ ˈi a
estar	e s t ˈa ɾ
estaremos	e s t a ɾ ˈe m o s
estarlo	e s t ˈa ɾ l o
estará	e s t a ɾ ˈa
estarán	e s t a ɾ ˈa n
estarás	e s t a ɾ ˈa s
estaré	e s t a ɾ ˈe
estaría	e s t a ɾ ˈi a
estaríamos	e s t a ɾ ˈi a m o s
estarían	e s t a ɾ ˈi a n
estas	ˈe s t a s
estatal	e s t a t ˈa l
estatales	e s t a t ˈa l e s
estatuas	e s t ˈa t w a s
estemos	e s t ˈe m o s
esterilizador	e s t e ɾ i l i θ a ð ˈo ɾ
estilo	e s t ˈi l o
estimación	e s t i m a θ j ˈo n
estimas	e s t i m a s
estimula	e s t i m ˈu l a
estimulantes	e s t i m u l ˈa n t e s
estimularemos	e s t i m u l a ɾ ˈe m o s
estipendio	e s t i p ˈe n d j o
estirar	e s t i ɾ ˈa ɾ
estiraré	e s t i ɾ a ɾ ˈe
esto	ˈe s t o
estonio	e s t ˈo n j o
estorbaré	e s t o ɾ b a ɾ ˈe
estornudo	e s t o ɾ n ˈu ð o
estos	ˈe s t o s
estoy	e s t ˈo j
estrado	e s t ɾ ˈa ð o
estrangulador	e s t ɾ a n g u l a ð ˈo ɾ
estrategia	e s t ɾ a t ˈe x j a
estrategias	e s t ɾ a t ˈe x j a s
estratos	e s t ɾ ˈa t o s
estratégicas	e s t ɾ a t ˈe x i k a s
estrecha	e s t ɾ ˈe ʧ a
estrechas	e s t ɾ ˈe ʧ a s
estrecheces	e s t ɾ e ʧ ˈe θ e s
estrecho	e s t ɾ ˈe ʧ o
estrellas	e s t ɾ ˈe ʝ a s
estrenado	e s t ɾ e n ˈa ð o
estrenan	e s t ɾ ˈe n a n
estricnina	e s t ɾ i k n ˈi n a
estricta	e s t ɾ ˈi k t a
estrictas	e s t ɾ ˈi k t a s
estrictos	e s t ɾ ˈi k t o s
estropeadas	e s t ɾ o p e ˈa ð a s
estropeará	e s t ɾ o p e a ɾ ˈa
estructura	e s t ɾ u k t ˈu ɾ a
estructuración	e s t ɾ u k t u ɾ a θ j ˈo n
estructuras	e s t ɾ u k t ˈu ɾ a s
estrujaré	e s t ɾ u x a ɾ ˈe
estrés	e s t ɾ ˈe s
estudia	e s t ˈu ð j a
estudiaban	e s t u ð j ˈa β a n
estudiando	e s t u ð j ˈa n d o
estudiante	e s t u ð j ˈa n t e
estudiantes	e s t u ð j ˈa n t e s
estudiantil	e s t u ð j a n t ˈi l
estudiar	e s t u ð j ˈa ɾ
estudiarlos	e s t u ð j ˈa ɾ l o s
estudiaron	e s t u ð j ˈa ɾ o n
estudio	e s t ˈu ð j o
estudios	e s t ˈu ð j o s
estudió	e s t u ð j ˈo
estupendamente	e s t u p ˈe n d a m ˈe n t e
estupendas	e s t u p ˈe n d a s
estupendo	e s t u p ˈe n d o
estupendísimamente	e s t u p ˈe n d ˈi s i m a m ˈe n t e
estupidez	e s t u p i ð ˈe θ
estuve	e s t ˈu β e
estuviera	e s t u b j ˈe ɾ a
estuviese	e s t u b j ˈe s e
estuvimos	e s t u b ˈi m o s
estuviste	e s t u b ˈi s t e
estuviésemos	e s t u b j ˈe s e m o s
estuvo	e s t ˈu β o
está	e s t ˈa
estábamos	e s t ˈa β a m o s
estáis	e s t ˈa j s
están	e s t ˈa n
estás	e s t ˈa s
estáticos	e s t ˈa t i k o s
esté	e s t ˈe
estéis	e s t ˈe j s
estén	e s t ˈe n
estés	e s t ˈe s
estímulos	e s t ˈi m u l o s
estómago	e s t ˈo m a ɣ o
estúpido	e s t ˈu p i ð o
estúpidos	e s t ˈu p i ð o s
etapa	e t ˈa p a
etc	e t θ ˈe t e ɾ a
etcétera	e t θ ˈe t e ɾ a
eternamente	e t ˈe ɾ n a m ˈe n t e
eternidad	e t e ɾ n i ð ˈa d
eternos	e t ˈe ɾ n o s
etiqueta	e t i k ˈe t a
etna	e t n a
etnológico	e t n o l ˈo x i k o
euroescepticismo	e w ɾ o e s θ e p t i θ ˈi s m o
europea	e w ɾ o p ˈe a
europeas	e w ɾ o p ˈe a s
europeo	e w ɾ o p ˈe o
europeos	e w ɾ o p ˈe o s
euskadi	e w s k ˈa ð i
evaluadas	e β a l w ˈa ð a s
evaluando	e β a l w ˈa n d o
evaluar	e β a l w ˈa ɾ
eve	ˈe β e
evento	e β ˈe n t o
eventos	e β ˈe n t o s
evidencia	e β i ð ˈe n θ j a
evidente	e β i ð ˈe n t e
evidentemente	e β i ð ˈe n t e m ˈe n t e
evitado	e β i t ˈa ð o
evitando	e β i t ˈa n d o
evitar	e β i t ˈa ɾ
evolucionado	e β o l u θ j o n ˈa ð o
evolución	e β o l u θ j ˈo n
evreux	ˈe β ɾ e w k s
ex	ˈe k s
exactamente	e k s ˈa k t a m ˈe n t e
exactitud	e k s a k t i t ˈu d
exacto	e k s ˈa k t o
exagerado	e k s a x e ɾ ˈa ð o
exageradísima	e k s a x e ɾ a ð ˈi s i m a
excedencia	e k s θ e ð ˈe n θ j a
excedido	e k s θ e ð ˈi ð o
excelencia	e k s θ e l ˈe n θ j a
excelente	e k s θ e l ˈe n t e
excelentes	e k s θ e l ˈe n t e s
excepcional	e k s θ e p θ j o n ˈa l
excepcionales	e k s θ e p θ j o n ˈa l e s
excepción	e k s θ e p θ j ˈo n
